Time	CellId	RNTI	BWPId	StreamId	SINR(dB)
7.1427e-05	2	0	0	0	-25.0291
0.00507143	2	0	0	0	-25.9777
0.0100714	2	0	0	0	-25.9777
0.0150714	2	0	0	0	-25.9777
0.0200714	2	0	0	0	-25.9777
0.0250714	2	1	0	0	-25.9777
0.0300714	2	1	0	0	-25.9777
0.0350714	2	1	0	0	-25.9777
0.0400714	2	1	0	0	-25.9777
0.0450714	2	1	0	0	-25.9777
0.0500714	2	1	0	0	-25.9777
0.0550714	2	1	0	0	-25.9777
0.0600714	2	1	0	0	-25.9777
0.0650714	2	1	0	0	-25.9777
0.0700714	2	1	0	0	-25.9777
0.0750714	2	1	0	0	-25.9777
0.0800714	2	1	0	0	-25.9777
0.0850714	2	1	0	0	-25.9777
0.0900714	2	1	0	0	-25.9777
0.0950714	2	1	0	0	-25.9777
0.100071	2	1	0	0	-25.9777
0.105071	2	1	0	0	-25.9777
0.110071	2	1	0	0	-25.9777
0.115071	2	1	0	0	-25.9777
0.120071	2	1	0	0	-25.9777
0.125071	2	1	0	0	-25.9777
0.130071	2	1	0	0	-25.9777
0.135071	2	1	0	0	-25.9777
0.140071	2	1	0	0	-25.9777
0.145071	2	1	0	0	-25.9777
0.150071	2	1	0	0	-25.9777
0.155071	2	1	0	0	-25.9777
0.160071	2	1	0	0	-25.9777
0.165071	2	1	0	0	-25.9777
0.170071	2	1	0	0	-25.9777
0.175071	2	1	0	0	-25.9777
0.180071	2	1	0	0	-25.9777
0.185071	2	1	0	0	-25.9777
0.190071	2	1	0	0	-25.9777
0.195071	2	1	0	0	-25.9777
0.200071	2	1	0	0	-25.9777
0.205071	2	1	0	0	-25.9777
0.210071	2	1	0	0	-25.9777
0.215071	2	1	0	0	-25.9777
0.220071	2	1	0	0	-25.9777
0.225071	2	1	0	0	-25.9777
0.230071	2	1	0	0	-25.9777
0.235071	2	1	0	0	-25.9777
0.240071	2	1	0	0	-25.9777
0.245071	2	1	0	0	-25.9777
0.250071	2	1	0	0	-25.9777
0.255071	2	1	0	0	-25.9777
0.260071	2	1	0	0	-25.9777
0.265071	2	1	0	0	-25.9777
0.270071	2	1	0	0	-25.9777
0.275071	2	1	0	0	-25.9777
0.280071	2	1	0	0	-25.9777
0.285071	2	1	0	0	-25.9777
0.290071	2	1	0	0	-25.9777
0.295071	2	1	0	0	-25.9777
0.300071	2	1	0	0	-25.9777
0.305071	2	1	0	0	-25.9777
0.310071	2	1	0	0	-25.9777
0.315071	2	1	0	0	-25.9777
0.320071	2	1	0	0	-25.9777
0.325071	2	1	0	0	-25.9777
0.330071	2	1	0	0	-25.9777
0.335071	2	1	0	0	-25.9777
0.340071	2	1	0	0	-25.9777
0.345071	2	1	0	0	-25.9777
0.350071	2	1	0	0	-25.9777
0.355071	2	1	0	0	-25.9777
0.360071	2	1	0	0	-25.9777
0.365071	2	1	0	0	-25.9777
0.370071	2	1	0	0	-25.9777
0.375071	2	1	0	0	-25.9777
0.380071	2	1	0	0	-25.9777
0.385071	2	1	0	0	-25.9777
0.390071	2	1	0	0	-25.9777
0.395071	2	1	0	0	-25.9777
0.400071	2	1	0	0	-25.9777
0.405071	2	1	0	0	-25.9777
0.410071	2	1	0	0	-25.9777
0.415071	2	1	0	0	-25.9777
0.420071	2	1	0	0	-25.9777
0.425071	2	1	0	0	-25.9777
0.430071	2	1	0	0	-25.9777
0.435071	2	1	0	0	-25.9777
0.440071	2	1	0	0	-25.9777
0.445071	2	1	0	0	-25.9777
0.450071	2	1	0	0	-25.9777
0.455071	2	1	0	0	-25.9777
0.460071	2	1	0	0	-25.9777
0.465071	2	1	0	0	-25.9777
0.470071	2	1	0	0	-25.9777
0.475071	2	1	0	0	-25.9777
0.480071	2	1	0	0	-25.9777
0.485071	2	1	0	0	-25.9777
0.490071	2	1	0	0	-25.9777
0.495071	2	1	0	0	-25.9777
0.500071	2	1	0	0	-25.9777
0.505071	2	1	0	0	-25.9777
0.510071	2	1	0	0	-25.9777
0.515071	2	1	0	0	-25.9777
0.520071	2	1	0	0	-25.9777
0.525071	2	1	0	0	-25.9777
0.530071	2	1	0	0	-25.9777
0.535071	2	1	0	0	-25.9777
0.540071	2	1	0	0	-25.9777
0.545071	2	1	0	0	-25.9777
0.550071	2	1	0	0	-25.9777
0.555071	2	1	0	0	-25.9777
0.560071	2	1	0	0	-25.9777
0.565071	2	1	0	0	-25.9777
0.570071	2	1	0	0	-25.9777
0.575071	2	1	0	0	-25.9777
0.580071	2	1	0	0	-25.9777
0.585071	2	1	0	0	-25.9777
0.590071	2	1	0	0	-25.9777
0.595071	2	1	0	0	-25.9777
0.600071	2	1	0	0	-25.9777
0.605071	2	1	0	0	-25.9777
0.606071	2	1	0	0	-25.9777
0.610071	2	1	0	0	-25.9777
0.611071	2	1	0	0	-25.9777
0.615071	2	1	0	0	-25.9777
0.616071	2	1	0	0	-25.9777
0.620071	2	1	0	0	-25.9777
0.621071	2	1	0	0	-25.9777
0.625071	2	1	0	0	-25.9777
0.630071	2	1	0	0	-25.9777
0.635071	2	1	0	0	-25.9777
0.640071	2	1	0	0	-25.9777
0.645071	2	1	0	0	-25.9777
0.650071	2	1	0	0	-25.9777
0.655071	2	1	0	0	-25.9777
0.660071	2	1	0	0	-25.9777
0.665071	2	1	0	0	-25.9777
0.670071	2	1	0	0	-25.9777
0.675071	2	1	0	0	-25.9777
0.680071	2	1	0	0	-25.9777
0.685071	2	1	0	0	-25.9777
0.690071	2	1	0	0	-25.9777
0.695071	2	1	0	0	-25.9777
0.700071	2	1	0	0	-25.9777
0.705071	2	1	0	0	-25.9777
0.710071	2	1	0	0	-25.9777
0.715071	2	1	0	0	-25.9777
0.720071	2	1	0	0	-25.9777
0.725071	2	1	0	0	-25.9777
0.730071	2	1	0	0	-25.9777
0.735071	2	1	0	0	-25.9777
0.740071	2	1	0	0	-25.9777
0.745071	2	1	0	0	-25.9777
0.750071	2	1	0	0	-25.9777
0.755071	2	1	0	0	-25.9777
0.760071	2	1	0	0	-25.9777
0.765071	2	1	0	0	-25.9777
0.770071	2	1	0	0	-25.9777
0.775071	2	1	0	0	-25.9777
0.780071	2	1	0	0	-25.9777
0.785071	2	1	0	0	-25.9777
0.790071	2	1	0	0	-25.9777
0.795071	2	1	0	0	-25.9777
0.800071	2	1	0	0	-25.9777
0.805071	2	1	0	0	-25.9777
0.810071	2	1	0	0	-25.9777
0.815071	2	1	0	0	-25.9777
0.820071	2	1	0	0	-25.9777
0.825071	2	1	0	0	-25.9777
0.830071	2	1	0	0	-25.9777
0.835071	2	1	0	0	-25.9777
0.840071	2	1	0	0	-25.9777
0.845071	2	1	0	0	-25.9777
0.850071	2	1	0	0	-25.9777
0.855071	2	1	0	0	-25.9777
0.860071	2	1	0	0	-25.9777
0.865071	2	1	0	0	-25.9777
0.870071	2	1	0	0	-25.9777
0.875071	2	1	0	0	-25.9777
0.880071	2	1	0	0	-25.9777
0.885071	2	1	0	0	-25.9777
0.890071	2	1	0	0	-25.9777
0.895071	2	1	0	0	-25.9777
0.900071	2	1	0	0	-25.9777
0.905071	2	1	0	0	-25.9777
0.910071	2	1	0	0	-25.9777
0.915071	2	1	0	0	-25.9777
0.920071	2	1	0	0	-25.9777
0.925071	2	1	0	0	-25.9777
0.930071	2	1	0	0	-25.9777
0.935071	2	1	0	0	-25.9777
0.940071	2	1	0	0	-25.9777
0.945071	2	1	0	0	-25.9777
0.950071	2	1	0	0	-25.9777
0.955071	2	1	0	0	-25.9777
0.960071	2	1	0	0	-25.9777
0.965071	2	1	0	0	-25.9777
0.970071	2	1	0	0	-25.9777
0.975071	2	1	0	0	-25.9777
0.980071	2	1	0	0	-25.9777
0.985071	2	1	0	0	-25.9777
0.990071	2	1	0	0	-25.9777
0.995071	2	1	0	0	-25.9777
1.00007	2	1	0	0	-25.9777
1.00507	2	1	0	0	-25.9777
1.01007	2	1	0	0	-25.9777
1.01507	2	1	0	0	-25.9777
1.02007	2	1	0	0	-25.9777
1.02507	2	1	0	0	-25.9777
1.03007	2	1	0	0	-25.9777
1.03507	2	1	0	0	-25.9777
1.04007	2	1	0	0	-25.9777
1.04507	2	1	0	0	-25.9777
1.05007	2	1	0	0	-25.9777
1.05507	2	1	0	0	-25.9777
1.06007	2	1	0	0	-25.9777
1.06507	2	1	0	0	-25.9777
1.07007	2	1	0	0	-25.9777
1.07507	2	1	0	0	-25.9777
1.08007	2	1	0	0	-25.9777
1.08507	2	1	0	0	-25.9777
1.09007	2	1	0	0	-25.9777
1.09507	2	1	0	0	-25.9777
1.10007	2	1	0	0	-25.9777
1.10507	2	1	0	0	-25.9777
1.11007	2	1	0	0	-25.9777
1.11507	2	1	0	0	-25.9777
1.12007	2	1	0	0	-25.9777
1.12507	2	1	0	0	-25.9777
1.13007	2	1	0	0	-25.9777
1.13507	2	1	0	0	-25.9777
1.14007	2	1	0	0	-25.9777
1.14507	2	1	0	0	-25.9777
1.15007	2	1	0	0	-25.9777
1.15507	2	1	0	0	-25.9777
1.16007	2	1	0	0	-25.9777
1.16507	2	1	0	0	-25.9777
1.17007	2	1	0	0	-25.9777
1.17507	2	1	0	0	-25.9777
1.18007	2	1	0	0	-25.9777
1.18507	2	1	0	0	-25.9777
1.19007	2	1	0	0	-25.9777
1.19507	2	1	0	0	-25.9777
1.20007	2	1	0	0	-25.9777
1.20507	2	1	0	0	-25.9777
1.21007	2	1	0	0	-25.9777
1.21507	2	1	0	0	-25.9777
1.22007	2	1	0	0	-25.9777
1.22507	2	1	0	0	-25.9777
1.23007	2	1	0	0	-25.9777
1.23507	2	1	0	0	-25.9777
1.24007	2	1	0	0	-25.9777
1.24507	2	1	0	0	-25.9777
1.25007	2	1	0	0	-25.9777
1.25507	2	1	0	0	-25.9777
1.26007	2	1	0	0	-25.9777
1.26507	2	1	0	0	-25.9777
1.27007	2	1	0	0	-25.9777
1.27507	2	1	0	0	-25.9777
1.28007	2	1	0	0	-25.9777
1.28507	2	1	0	0	-25.9777
1.29007	2	1	0	0	-25.9777
1.29507	2	1	0	0	-25.9777
1.30007	2	1	0	0	-25.9777
1.30507	2	1	0	0	-25.9777
1.31007	2	1	0	0	-25.9777
1.31507	2	1	0	0	-25.9777
1.32007	2	1	0	0	-25.9777
1.32507	2	1	0	0	-25.9777
1.33007	2	1	0	0	-25.9777
1.33507	2	1	0	0	-25.9777
1.34007	2	1	0	0	-25.9777
1.34507	2	1	0	0	-25.9777
1.35007	2	1	0	0	-25.9777
1.35507	2	1	0	0	-25.9777
1.36007	2	1	0	0	-25.9777
1.36507	2	1	0	0	-25.9777
1.37007	2	1	0	0	-25.9777
1.37507	2	1	0	0	-25.9777
1.38007	2	1	0	0	-25.9777
1.38507	2	1	0	0	-25.9777
1.39007	2	1	0	0	-25.9777
1.39507	2	1	0	0	-25.9777
1.40007	2	1	0	0	-25.9777
1.40507	2	1	0	0	-25.9777
1.41007	2	1	0	0	-25.9777
1.41507	2	1	0	0	-25.9777
1.42007	2	1	0	0	-25.9777
1.42507	2	1	0	0	-25.9777
1.43007	2	1	0	0	-25.9777
1.43507	2	1	0	0	-25.9777
1.44007	2	1	0	0	-25.9777
1.44507	2	1	0	0	-25.9777
1.45007	2	1	0	0	-25.9777
1.45507	2	1	0	0	-25.9777
1.46007	2	1	0	0	-25.9777
1.46507	2	1	0	0	-25.9777
1.47007	2	1	0	0	-25.9777
1.47507	2	1	0	0	-25.9777
1.48007	2	1	0	0	-25.9777
1.48507	2	1	0	0	-25.9777
1.49007	2	1	0	0	-25.9777
1.49507	2	1	0	0	-25.9777
1.50007	2	1	0	0	-25.9777
1.50507	2	1	0	0	-25.9777
1.51007	2	1	0	0	-25.9777
1.51507	2	1	0	0	-25.9777
1.52007	2	1	0	0	-25.9777
1.52507	2	1	0	0	-25.9777
1.53007	2	1	0	0	-25.9777
1.53507	2	1	0	0	-25.9777
1.54007	2	1	0	0	-25.9777
1.54507	2	1	0	0	-25.9777
1.55007	2	1	0	0	-25.9777
1.55507	2	1	0	0	-25.9777
1.56007	2	1	0	0	-25.9777
1.56507	2	1	0	0	-25.9777
1.57007	2	1	0	0	-25.9777
1.57507	2	1	0	0	-25.9777
1.58007	2	1	0	0	-25.9777
1.58507	2	1	0	0	-25.9777
1.59007	2	1	0	0	-25.9777
1.59507	2	1	0	0	-25.9777
1.60007	2	1	0	0	-25.9777
1.60507	2	1	0	0	-25.9777
1.61007	2	1	0	0	-25.9777
1.61507	2	1	0	0	-25.9777
1.62007	2	1	0	0	-25.9777
1.62507	2	1	0	0	-25.9777
1.63007	2	1	0	0	-25.9777
1.63507	2	1	0	0	-25.9777
1.64007	2	1	0	0	-25.9777
1.64507	2	1	0	0	-25.9777
1.65007	2	1	0	0	-25.9777
1.65507	2	1	0	0	-25.9777
1.66007	2	1	0	0	-25.9777
1.66507	2	1	0	0	-25.9777
1.67007	2	1	0	0	-25.9777
1.67507	2	1	0	0	-25.9777
1.68007	2	1	0	0	-25.9777
1.68507	2	1	0	0	-25.9777
1.69007	2	1	0	0	-25.9777
1.69507	2	1	0	0	-25.9777
1.70007	2	1	0	0	-25.9777
1.70507	2	1	0	0	-25.9777
1.71007	2	1	0	0	-25.9777
1.71507	2	1	0	0	-25.9777
