Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
16.245	ENB PHY Txed	1624	5	0	2	0	0	SIB1
16.245	ENB PHY Txed	1624	5	0	2	0	0	UL_UCI
16.25	ENB PHY Txed	1625	0	0	2	0	0	MIB
16.255	ENB PHY Txed	1625	5	0	2	0	0	SIB1
16.26	ENB PHY Txed	1626	0	0	2	0	0	MIB
16.265	ENB PHY Txed	1626	5	0	2	0	0	SIB1
16.27	ENB PHY Txed	1627	0	0	2	0	0	MIB
16.275	ENB PHY Txed	1627	5	0	2	0	0	SIB1
16.28	ENB PHY Txed	1628	0	0	2	0	0	MIB
16.285	ENB PHY Txed	1628	5	0	2	0	0	SIB1
16.29	ENB PHY Txed	1629	0	0	2	0	0	MIB
16.295	ENB PHY Txed	1629	5	0	2	0	0	SIB1
16.3	ENB PHY Txed	1630	0	0	2	0	0	MIB
16.305	ENB PHY Txed	1630	5	0	2	0	0	SIB1
16.31	ENB PHY Txed	1631	0	0	2	0	0	MIB
16.315	ENB PHY Txed	1631	5	0	2	0	0	SIB1
16.32	ENB PHY Txed	1632	0	0	2	0	0	MIB
16.325	ENB PHY Txed	1632	5	0	2	0	0	SIB1
16.325	ENB PHY Txed	1632	5	0	2	0	0	UL_UCI
16.33	ENB PHY Txed	1633	0	0	2	0	0	MIB
16.335	ENB PHY Txed	1633	5	0	2	0	0	SIB1
16.34	ENB PHY Txed	1634	0	0	2	0	0	MIB
16.345	ENB PHY Txed	1634	5	0	2	0	0	SIB1
16.35	ENB PHY Txed	1635	0	0	2	0	0	MIB
16.355	ENB PHY Txed	1635	5	0	2	0	0	SIB1
16.36	ENB PHY Txed	1636	0	0	2	0	0	MIB
16.365	ENB PHY Txed	1636	5	0	2	0	0	SIB1
16.37	ENB PHY Txed	1637	0	0	2	0	0	MIB
16.375	ENB PHY Txed	1637	5	0	2	0	0	SIB1
16.38	ENB PHY Txed	1638	0	0	2	0	0	MIB
16.385	ENB PHY Txed	1638	5	0	2	0	0	SIB1
16.39	ENB PHY Txed	1639	0	0	2	0	0	MIB
16.395	ENB PHY Txed	1639	5	0	2	0	0	SIB1
16.4	ENB PHY Txed	1640	0	0	2	0	0	MIB
16.405	ENB PHY Txed	1640	5	0	2	0	0	SIB1
16.405	ENB PHY Txed	1640	5	0	2	0	0	UL_UCI
16.41	ENB PHY Txed	1641	0	0	2	0	0	MIB
16.415	ENB PHY Txed	1641	5	0	2	0	0	SIB1
16.42	ENB PHY Txed	1642	0	0	2	0	0	MIB
16.425	ENB PHY Txed	1642	5	0	2	0	0	SIB1
16.43	ENB PHY Txed	1643	0	0	2	0	0	MIB
16.435	ENB PHY Txed	1643	5	0	2	0	0	SIB1
16.44	ENB PHY Txed	1644	0	0	2	0	0	MIB
16.445	ENB PHY Txed	1644	5	0	2	0	0	SIB1
16.45	ENB PHY Txed	1645	0	0	2	0	0	MIB
16.455	ENB PHY Txed	1645	5	0	2	0	0	SIB1
16.46	ENB PHY Txed	1646	0	0	2	0	0	MIB
16.465	ENB PHY Txed	1646	5	0	2	0	0	SIB1
16.47	ENB PHY Txed	1647	0	0	2	0	0	MIB
16.475	ENB PHY Txed	1647	5	0	2	0	0	SIB1
16.48	ENB PHY Txed	1648	0	0	2	0	0	MIB
16.485	ENB PHY Txed	1648	5	0	2	0	0	SIB1
16.485	ENB PHY Txed	1648	5	0	2	0	0	UL_UCI
16.49	ENB PHY Txed	1649	0	0	2	0	0	MIB
16.495	ENB PHY Txed	1649	5	0	2	0	0	SIB1
16.5	ENB PHY Txed	1650	0	0	2	0	0	MIB
16.505	ENB PHY Txed	1650	5	0	2	0	0	SIB1
16.51	ENB PHY Txed	1651	0	0	2	0	0	MIB
16.515	ENB PHY Txed	1651	5	0	2	0	0	SIB1
16.52	ENB PHY Txed	1652	0	0	2	0	0	MIB
16.525	ENB PHY Txed	1652	5	0	2	0	0	SIB1
16.53	ENB PHY Txed	1653	0	0	2	0	0	MIB
16.535	ENB PHY Txed	1653	5	0	2	0	0	SIB1
16.54	ENB PHY Txed	1654	0	0	2	0	0	MIB
16.545	ENB PHY Txed	1654	5	0	2	0	0	SIB1
16.55	ENB PHY Txed	1655	0	0	2	0	0	MIB
16.555	ENB PHY Txed	1655	5	0	2	0	0	SIB1
16.56	ENB PHY Txed	1656	0	0	2	0	0	MIB
16.565	ENB PHY Txed	1656	5	0	2	0	0	SIB1
16.565	ENB PHY Txed	1656	5	0	2	0	0	UL_UCI
16.57	ENB PHY Txed	1657	0	0	2	0	0	MIB
16.575	ENB PHY Txed	1657	5	0	2	0	0	SIB1
16.58	ENB PHY Txed	1658	0	0	2	0	0	MIB
16.585	ENB PHY Txed	1658	5	0	2	0	0	SIB1
16.59	ENB PHY Txed	1659	0	0	2	0	0	MIB
16.595	ENB PHY Txed	1659	5	0	2	0	0	SIB1
16.6	ENB PHY Txed	1660	0	0	2	0	0	MIB
