Time(sec)	CellId	BwpId	txStreamId 	IMSI	rxStreamId	pathLoss(dB)
0.0179286	1	0	0	1	0	-119.635
0.0878571	1	0	0	1	0	-119.635
0.167857	1	0	0	1	0	-119.635
0.247857	1	0	0	1	0	-119.635
0.327857	1	0	0	1	0	-119.635
0.407857	1	0	0	1	0	-119.635
0.487857	1	0	0	1	0	-119.635
0.567857	1	0	0	1	0	-119.635
0.603929	1	0	0	1	0	-119.635
0.608857	1	0	0	1	0	-119.635
0.613857	1	0	0	1	0	-119.635
0.618857	1	0	0	1	0	-119.635
0.623857	1	0	0	1	0	-119.635
0.647857	1	0	0	1	0	-119.635
0.727857	1	0	0	1	0	-119.635
0.807857	1	0	0	1	0	-119.635
0.887857	1	0	0	1	0	-119.635
0.967857	1	0	0	1	0	-119.635
1.04786	1	0	0	1	0	-119.635
1.12786	1	0	0	1	0	-119.635
1.20786	1	0	0	1	0	-119.635
1.28786	1	0	0	1	0	-119.635
1.36786	1	0	0	1	0	-119.635
1.44786	1	0	0	1	0	-119.635
1.52786	1	0	0	1	0	-119.635
1.60786	1	0	0	1	0	-119.635
1.68786	1	0	0	1	0	-119.635
1.76786	1	0	0	1	0	-119.635
1.84786	1	0	0	1	0	-119.635
1.92786	1	0	0	1	0	-119.635
2.00786	1	0	0	1	0	-119.635
2.08786	1	0	0	1	0	-119.635
2.16786	1	0	0	1	0	-119.635
2.24786	1	0	0	1	0	-119.635
2.32786	1	0	0	1	0	-119.635
2.40786	1	0	0	1	0	-119.635
2.48786	1	0	0	1	0	-119.635
2.56786	1	0	0	1	0	-119.635
2.64786	1	0	0	1	0	-119.635
2.72786	1	0	0	1	0	-119.635
2.80786	1	0	0	1	0	-119.635
2.88786	1	0	0	1	0	-119.635
2.96786	1	0	0	1	0	-119.635
3.04786	1	0	0	1	0	-119.635
3.12786	1	0	0	1	0	-119.635
3.20786	1	0	0	1	0	-119.635
3.28786	1	0	0	1	0	-119.635
3.36786	1	0	0	1	0	-119.635
3.44786	1	0	0	1	0	-119.635
3.52786	1	0	0	1	0	-119.635
3.60786	1	0	0	1	0	-119.635
3.68786	1	0	0	1	0	-119.635
3.76786	1	0	0	1	0	-119.635
3.84786	1	0	0	1	0	-119.635
3.92786	1	0	0	1	0	-119.635
4.00786	1	0	0	1	0	-119.635
4.08786	1	0	0	1	0	-119.635
4.16786	1	0	0	1	0	-119.635
4.24786	1	0	0	1	0	-119.635
4.32786	1	0	0	1	0	-119.635
4.40786	1	0	0	1	0	-119.635
4.48786	1	0	0	1	0	-119.635
4.56786	1	0	0	1	0	-119.635
4.64786	1	0	0	1	0	-119.635
4.72786	1	0	0	1	0	-119.635
4.80786	1	0	0	1	0	-119.635
4.88786	1	0	0	1	0	-119.635
4.96786	1	0	0	1	0	-119.635
5.04786	1	0	0	1	0	-119.635
5.12786	1	0	0	1	0	-119.635
5.20786	1	0	0	1	0	-119.635
5.28786	1	0	0	1	0	-119.635
5.36786	1	0	0	1	0	-119.635
5.44786	1	0	0	1	0	-119.635
5.52786	1	0	0	1	0	-119.635
5.60786	1	0	0	1	0	-119.635
5.68786	1	0	0	1	0	-119.635
5.76786	1	0	0	1	0	-119.635
5.84786	1	0	0	1	0	-119.635
5.92786	1	0	0	1	0	-119.635
6.00786	1	0	0	1	0	-119.635
6.08786	1	0	0	1	0	-119.635
6.16786	1	0	0	1	0	-119.635
6.24786	1	0	0	1	0	-119.635
6.32786	1	0	0	1	0	-119.635
6.40786	1	0	0	1	0	-119.635
6.48786	1	0	0	1	0	-119.635
6.56786	1	0	0	1	0	-119.635
6.64786	1	0	0	1	0	-119.635
6.72786	1	0	0	1	0	-119.635
6.80786	1	0	0	1	0	-119.635
6.88786	1	0	0	1	0	-119.635
6.96786	1	0	0	1	0	-119.635
7.04786	1	0	0	1	0	-119.635
7.12786	1	0	0	1	0	-119.635
7.20786	1	0	0	1	0	-119.635
7.28786	1	0	0	1	0	-119.635
7.36786	1	0	0	1	0	-119.635
7.44786	1	0	0	1	0	-119.635
7.52786	1	0	0	1	0	-119.635
7.60786	1	0	0	1	0	-119.635
7.68786	1	0	0	1	0	-119.635
7.76786	1	0	0	1	0	-119.635
7.84786	1	0	0	1	0	-119.635
7.92786	1	0	0	1	0	-119.635
8.00786	1	0	0	1	0	-119.635
8.08786	1	0	0	1	0	-119.635
8.16786	1	0	0	1	0	-119.635
8.24786	1	0	0	1	0	-119.635
8.32786	1	0	0	1	0	-119.635
8.40786	1	0	0	1	0	-119.635
8.48786	1	0	0	1	0	-119.635
8.56786	1	0	0	1	0	-119.635
8.64786	1	0	0	1	0	-119.635
8.72786	1	0	0	1	0	-119.635
8.80786	1	0	0	1	0	-119.635
8.88786	1	0	0	1	0	-119.635
8.96786	1	0	0	1	0	-119.635
9.04786	1	0	0	1	0	-119.635
9.12786	1	0	0	1	0	-119.635
9.20786	1	0	0	1	0	-119.635
9.28786	1	0	0	1	0	-119.635
9.36786	1	0	0	1	0	-119.635
9.44786	1	0	0	1	0	-119.635
9.52786	1	0	0	1	0	-119.635
9.60786	1	0	0	1	0	-119.635
9.68786	1	0	0	1	0	-119.635
9.76786	1	0	0	1	0	-119.635
9.84786	1	0	0	1	0	-119.635
9.92786	1	0	0	1	0	-119.635
10.0079	1	0	0	1	0	-119.635
10.0879	1	0	0	1	0	-119.635
10.1679	1	0	0	1	0	-119.635
10.2479	1	0	0	1	0	-119.635
10.3279	1	0	0	1	0	-119.635
10.4079	1	0	0	1	0	-119.635
10.4879	1	0	0	1	0	-119.635
10.5679	1	0	0	1	0	-119.635
10.6479	1	0	0	1	0	-119.635
10.7279	1	0	0	1	0	-119.635
10.8079	1	0	0	1	0	-119.635
10.8879	1	0	0	1	0	-119.635
10.9679	1	0	0	1	0	-119.635
11.0479	1	0	0	1	0	-119.635
11.1279	1	0	0	1	0	-119.635
11.2079	1	0	0	1	0	-119.635
11.2879	1	0	0	1	0	-119.635
11.3679	1	0	0	1	0	-119.635
11.4479	1	0	0	1	0	-119.635
11.5279	1	0	0	1	0	-119.635
11.6079	1	0	0	1	0	-119.635
11.6879	1	0	0	1	0	-119.635
11.7679	1	0	0	1	0	-119.635
11.8479	1	0	0	1	0	-119.635
11.9279	1	0	0	1	0	-119.635
12.0079	1	0	0	1	0	-119.635
12.0879	1	0	0	1	0	-119.635
12.1679	1	0	0	1	0	-119.635
12.2479	1	0	0	1	0	-119.635
12.3279	1	0	0	1	0	-119.635
12.4079	1	0	0	1	0	-119.635
12.4879	1	0	0	1	0	-119.635
12.5679	1	0	0	1	0	-119.635
12.6479	1	0	0	1	0	-119.635
