Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
8.00786	UE  PHY Txed	800	7	0	2	1	0	SRS
8.08786	UE  PHY Txed	808	7	0	2	1	0	SRS
8.16786	UE  PHY Txed	816	7	0	2	1	0	SRS
8.24786	UE  PHY Txed	824	7	0	2	1	0	SRS
8.32786	UE  PHY Txed	832	7	0	2	1	0	SRS
8.40786	UE  PHY Txed	840	7	0	2	1	0	SRS
8.48786	UE  PHY Txed	848	7	0	2	1	0	SRS
8.56786	UE  PHY Txed	856	7	0	2	1	0	SRS
8.64786	UE  PHY Txed	864	7	0	2	1	0	SRS
8.72786	UE  PHY Txed	872	7	0	2	1	0	SRS
8.80786	UE  PHY Txed	880	7	0	2	1	0	SRS
8.88786	UE  PHY Txed	888	7	0	2	1	0	SRS
8.96786	UE  PHY Txed	896	7	0	2	1	0	SRS
9.04786	UE  PHY Txed	904	7	0	2	1	0	SRS
9.12786	UE  PHY Txed	912	7	0	2	1	0	SRS
9.20786	UE  PHY Txed	920	7	0	2	1	0	SRS
9.28786	UE  PHY Txed	928	7	0	2	1	0	SRS
9.36786	UE  PHY Txed	936	7	0	2	1	0	SRS
9.44786	UE  PHY Txed	944	7	0	2	1	0	SRS
9.52786	UE  PHY Txed	952	7	0	2	1	0	SRS
9.60786	UE  PHY Txed	960	7	0	2	1	0	SRS
9.68786	UE  PHY Txed	968	7	0	2	1	0	SRS
9.76786	UE  PHY Txed	976	7	0	2	1	0	SRS
9.84786	UE  PHY Txed	984	7	0	2	1	0	SRS
9.92786	UE  PHY Txed	992	7	0	2	1	0	SRS
10.0079	UE  PHY Txed	1000	7	0	2	1	0	SRS
10.0879	UE  PHY Txed	1008	7	0	2	1	0	SRS
10.1679	UE  PHY Txed	1016	7	0	2	1	0	SRS
10.2479	UE  PHY Txed	1024	7	0	2	1	0	SRS
10.3279	UE  PHY Txed	1032	7	0	2	1	0	SRS
10.4079	UE  PHY Txed	1040	7	0	2	1	0	SRS
10.4879	UE  PHY Txed	1048	7	0	2	1	0	SRS
10.5679	UE  PHY Txed	1056	7	0	2	1	0	SRS
10.6479	UE  PHY Txed	1064	7	0	2	1	0	SRS
10.7279	UE  PHY Txed	1072	7	0	2	1	0	SRS
10.8079	UE  PHY Txed	1080	7	0	2	1	0	SRS
10.8879	UE  PHY Txed	1088	7	0	2	1	0	SRS
10.9679	UE  PHY Txed	1096	7	0	2	1	0	SRS
11.0479	UE  PHY Txed	1104	7	0	2	1	0	SRS
11.1279	UE  PHY Txed	1112	7	0	2	1	0	SRS
11.2079	UE  PHY Txed	1120	7	0	2	1	0	SRS
11.2879	UE  PHY Txed	1128	7	0	2	1	0	SRS
11.3679	UE  PHY Txed	1136	7	0	2	1	0	SRS
11.4479	UE  PHY Txed	1144	7	0	2	1	0	SRS
11.5279	UE  PHY Txed	1152	7	0	2	1	0	SRS
11.6079	UE  PHY Txed	1160	7	0	2	1	0	SRS
11.6879	UE  PHY Txed	1168	7	0	2	1	0	SRS
11.7679	UE  PHY Txed	1176	7	0	2	1	0	SRS
11.8479	UE  PHY Txed	1184	7	0	2	1	0	SRS
11.9279	UE  PHY Txed	1192	7	0	2	1	0	SRS
12.0079	UE  PHY Txed	1200	7	0	2	1	0	SRS
12.0879	UE  PHY Txed	1208	7	0	2	1	0	SRS
12.1679	UE  PHY Txed	1216	7	0	2	1	0	SRS
12.2479	UE  PHY Txed	1224	7	0	2	1	0	SRS
12.3279	UE  PHY Txed	1232	7	0	2	1	0	SRS
12.4079	UE  PHY Txed	1240	7	0	2	1	0	SRS
12.4879	UE  PHY Txed	1248	7	0	2	1	0	SRS
12.5679	UE  PHY Txed	1256	7	0	2	1	0	SRS
12.6479	UE  PHY Txed	1264	7	0	2	1	0	SRS
12.7279	UE  PHY Txed	1272	7	0	2	1	0	SRS
12.8079	UE  PHY Txed	1280	7	0	2	1	0	SRS
12.8879	UE  PHY Txed	1288	7	0	2	1	0	SRS
12.9679	UE  PHY Txed	1296	7	0	2	1	0	SRS
13.0479	UE  PHY Txed	1304	7	0	2	1	0	SRS
13.1279	UE  PHY Txed	1312	7	0	2	1	0	SRS
13.2079	UE  PHY Txed	1320	7	0	2	1	0	SRS
13.2879	UE  PHY Txed	1328	7	0	2	1	0	SRS
13.3679	UE  PHY Txed	1336	7	0	2	1	0	SRS
13.4479	UE  PHY Txed	1344	7	0	2	1	0	SRS
13.5279	UE  PHY Txed	1352	7	0	2	1	0	SRS
13.6079	UE  PHY Txed	1360	7	0	2	1	0	SRS
13.6879	UE  PHY Txed	1368	7	0	2	1	0	SRS
13.7679	UE  PHY Txed	1376	7	0	2	1	0	SRS
13.8479	UE  PHY Txed	1384	7	0	2	1	0	SRS
13.9279	UE  PHY Txed	1392	7	0	2	1	0	SRS
14.0079	UE  PHY Txed	1400	7	0	2	1	0	SRS
14.0879	UE  PHY Txed	1408	7	0	2	1	0	SRS
14.1679	UE  PHY Txed	1416	7	0	2	1	0	SRS
14.2479	UE  PHY Txed	1424	7	0	2	1	0	SRS
14.3279	UE  PHY Txed	1432	7	0	2	1	0	SRS
14.4079	UE  PHY Txed	1440	7	0	2	1	0	SRS
14.4879	UE  PHY Txed	1448	7	0	2	1	0	SRS
14.5679	UE  PHY Txed	1456	7	0	2	1	0	SRS
14.6479	UE  PHY Txed	1464	7	0	2	1	0	SRS
14.7279	UE  PHY Txed	1472	7	0	2	1	0	SRS
14.8079	UE  PHY Txed	1480	7	0	2	1	0	SRS
14.8879	UE  PHY Txed	1488	7	0	2	1	0	SRS
14.9679	UE  PHY Txed	1496	7	0	2	1	0	SRS
15.0479	UE  PHY Txed	1504	7	0	2	1	0	SRS
15.1279	UE  PHY Txed	1512	7	0	2	1	0	SRS
15.2079	UE  PHY Txed	1520	7	0	2	1	0	SRS
15.2879	UE  PHY Txed	1528	7	0	2	1	0	SRS
15.3679	UE  PHY Txed	1536	7	0	2	1	0	SRS
15.4479	UE  PHY Txed	1544	7	0	2	1	0	SRS
15.5279	UE  PHY Txed	1552	7	0	2	1	0	SRS
15.6079	UE  PHY Txed	1560	7	0	2	1	0	SRS
15.6879	UE  PHY Txed	1568	7	0	2	1	0	SRS
15.7679	UE  PHY Txed	1576	7	0	2	1	0	SRS
15.8479	UE  PHY Txed	1584	7	0	2	1	0	SRS
15.9279	UE  PHY Txed	1592	7	0	2	1	0	SRS
16.0079	UE  PHY Txed	1600	7	0	2	1	0	SRS
16.0879	UE  PHY Txed	1608	7	0	2	1	0	SRS
16.1679	UE  PHY Txed	1616	7	0	2	1	0	SRS
16.2479	UE  PHY Txed	1624	7	0	2	1	0	SRS
16.3279	UE  PHY Txed	1632	7	0	2	1	0	SRS
16.4079	UE  PHY Txed	1640	7	0	2	1	0	SRS
16.4879	UE  PHY Txed	1648	7	0	2	1	0	SRS
16.5679	UE  PHY Txed	1656	7	0	2	1	0	SRS
16.6479	UE  PHY Txed	1664	7	0	2	1	0	SRS
16.7279	UE  PHY Txed	1672	7	0	2	1	0	SRS
16.8079	UE  PHY Txed	1680	7	0	2	1	0	SRS
16.8879	UE  PHY Txed	1688	7	0	2	1	0	SRS
16.9679	UE  PHY Txed	1696	7	0	2	1	0	SRS
17.0479	UE  PHY Txed	1704	7	0	2	1	0	SRS
17.1279	UE  PHY Txed	1712	7	0	2	1	0	SRS
17.2079	UE  PHY Txed	1720	7	0	2	1	0	SRS
17.2879	UE  PHY Txed	1728	7	0	2	1	0	SRS
17.3679	UE  PHY Txed	1736	7	0	2	1	0	SRS
17.4479	UE  PHY Txed	1744	7	0	2	1	0	SRS
17.5279	UE  PHY Txed	1752	7	0	2	1	0	SRS
17.6079	UE  PHY Txed	1760	7	0	2	1	0	SRS
17.6879	UE  PHY Txed	1768	7	0	2	1	0	SRS
17.7679	UE  PHY Txed	1776	7	0	2	1	0	SRS
17.8479	UE  PHY Txed	1784	7	0	2	1	0	SRS
17.9279	UE  PHY Txed	1792	7	0	2	1	0	SRS
18.0079	UE  PHY Txed	1800	7	0	2	1	0	SRS
18.0879	UE  PHY Txed	1808	7	0	2	1	0	SRS
18.1679	UE  PHY Txed	1816	7	0	2	1	0	SRS
18.2479	UE  PHY Txed	1824	7	0	2	1	0	SRS
18.3279	UE  PHY Txed	1832	7	0	2	1	0	SRS
18.4079	UE  PHY Txed	1840	7	0	2	1	0	SRS
18.4879	UE  PHY Txed	1848	7	0	2	1	0	SRS
18.5679	UE  PHY Txed	1856	7	0	2	1	0	SRS
18.6479	UE  PHY Txed	1864	7	0	2	1	0	SRS
18.7279	UE  PHY Txed	1872	7	0	2	1	0	SRS
18.8079	UE  PHY Txed	1880	7	0	2	1	0	SRS
18.8879	UE  PHY Txed	1888	7	0	2	1	0	SRS
18.9679	UE  PHY Txed	1896	7	0	2	1	0	SRS
19.0479	UE  PHY Txed	1904	7	0	2	1	0	SRS
19.1279	UE  PHY Txed	1912	7	0	2	1	0	SRS
19.2079	UE  PHY Txed	1920	7	0	2	1	0	SRS
19.2879	UE  PHY Txed	1928	7	0	2	1	0	SRS
19.3679	UE  PHY Txed	1936	7	0	2	1	0	SRS
19.4479	UE  PHY Txed	1944	7	0	2	1	0	SRS
19.5279	UE  PHY Txed	1952	7	0	2	1	0	SRS
19.6079	UE  PHY Txed	1960	7	0	2	1	0	SRS
19.6879	UE  PHY Txed	1968	7	0	2	1	0	SRS
19.7679	UE  PHY Txed	1976	7	0	2	1	0	SRS
19.8479	UE  PHY Txed	1984	7	0	2	1	0	SRS
19.9279	UE  PHY Txed	1992	7	0	2	1	0	SRS
